company,industry,rating,title,job_title,employee_status,location,date,pros,cons,advice,recommends
HDBANK,Ngân hàng,5.0,tốt nên cân nhắc làm việc,Kế toán thanh toán,Nhân viên hiện tại,Hồ Chí Minh,19/03/2026,,môi trưởng làm việc năng động phúc lợi tốt,,
HDBANK,Ngân hàng,4.0,"cty cũng ok á, nhiều dự án làm",Thực tập sinh phân tích tài chính,Nhân viên hiện tại,Hồ Chí Minh,17/03/2026,,"Nhiều dự án để làm, học đc qua dự án",,
HDBANK,Ngân hàng,4.0,"mọi thứ tạm ổn, hơi ràng buộc",Python Developer,Nhân viên hiện tại,Hà Nội,25/02/2026,OKnhưng gần đây khắc khe vụ chấm công,,,
HDBANK,Ngân hàng,4.0,ok kiểu môi trường đáng hc hỏi,Web Developer,Nhân viên hiện tại,Hồ Chí Minh,01/02/2026,,đc kiểu đồng nghiệp hơi drama,,Có
HDBANK,Ngân hàng,3.0,chế độ đãi ngộ phúc lợi,Thực tập sinh vận hành,Nhân viên hiện tại,Hà Nội,25/01/2026,vui vẻ hoà đồng thân thiện,,,
HDBANK,Ngân hàng,5.0,Công việc chuyên viên QHKH Doanh nghiệp,Nhân viên quan hệ khách hàng,Nhân viên cũ,Hồ Chí Minh,22/01/2026,"Phúc lợi tốt, lương khá ổn",,,
HDBANK,Ngân hàng,4.0,"Ổn so với mặt bằng chung về phúc lợi, thăng tiến rõ ràng",Nhân viên tư vấn tín dụng,Nhân viên hiện tại,Hồ Chí Minh,21/01/2026,,"Văn hóa tốt, lãnh đạo rất có tầm nhìn, benefit ổn",,Có
HDBANK,Ngân hàng,4.0,Ổn - lương tăng chậm - công việc nhàn,Tester,Nhân viên cũ,Hồ Chí Minh,14/01/2026,,"Ổn - lương tăng chậm - công việc nhàn. Muốn child child thì ok, nhưng nếu muốn try hard học hỏi nhiều thì ít. Công việc ko có process rõ ràng, giao việc qua tin nhắn",,
HDBANK,Ngân hàng,4.0,Áp lực công việc cao (GL),Nhân viên,Nhân viên hiện tại,Hồ Chí Minh,23/12/2025,,"- Lương cao và nhiều việc để làm- Môi trường tốt, tinh thần làm việc nhóm tốt.- Ngoài ra không có thêm ưu điểm nào về công ty",,Có
HDBANK,Ngân hàng,2.0,Dev nào chuẩn bị vào HDB mà thấy cmt này thì hãy suy nghĩ lại,Java Developer,Nhân viên cũ,Hồ Chí Minh,04/08/2025,,"Phúc lợi ổn trong các bank TMCP, có các chi phí phụ cấp cũng ổn. Các anh chị Trưởng bộ phận thì nhiệt tình, tận tâm.",,
HDBANK,Ngân hàng,1.0,"Triển khai sản phẩm fintech chưa tối ưu, nhiều vấn đề từ hiệu suất đến tính năng cốt lõi",Nhân viên,Nhân viên hiện tại,Hồ Chí Minh,14/07/2025,,"Không có ưu điểm nào về lương, phúc lợi, chế độ làm việc, môi trường làm việc, văn hóa công ty... được đề cập trong reviews này.",,Có
HDBANK,Ngân hàng,1.0,"Dự án mobile triển khai ì ạch, nhiều lần trễ deadline khi làm việc với đối tác",Nhân viên,Nhân viên hiện tại,Hồ Chí Minh,14/07/2025,,"Không có ưu điểm nào về lương, phúc lợi, chế độ làm việc, môi trường làm việc, văn hóa công ty... được đề cập trong reviews này.",,Có
HDBANK,Ngân hàng,1.0,"JD yêu cầu cao nhưng công nghệ cũ, làm việc kéo dài",Nhân viên,Nhân viên hiện tại,Hồ Chí Minh,19/05/2025,,"Không có ưu điểm nào về lương, phúc lợi, chế độ làm việc, môi trường làm việc, văn hóa công ty... được đề cập trong reviews này.",,Có
HDBANK,Ngân hàng,2.0,Thử sức không nên ở lại lâu dài,Nhân viên,Nhân viên cũ,Hồ Chí Minh,18/05/2025,,"Không có ưu điểm nào về lương, phúc lợi, chế độ làm việc, môi trường làm việc, văn hóa công ty... được đề cập trong reviews này.",,Có
HDBANK,Ngân hàng,4.0,"Chế độ lương, thưởng và phúc lợi ở mức ổn định, nhiều chính sách hỗ trợ cho nhân viên được áp dụng khá hợp lý,",Tester,Nhân viên cũ,Hồ Chí Minh,20/04/2025,,"Chế độ lương, thưởng và phúc lợi ở mức ổn định, nhiều chính sách hỗ trợ cho nhân viên được áp dụng khá hợp lý, nhìn chung mình thấy tương đối hài lòng.",,
HDBANK,Ngân hàng,1.0,"Công ty không chuyên nghiệp xíu nào, tốn thời gian phỏng vấn mà HR  thái độ interviewer thì tệ",Thực Tập Sinh,Nhân viên cũ,Hồ Chí Minh,25/03/2025,,"Không có ưu điểm nào về lương, phúc lợi, chế độ làm việc, môi trường làm việc, văn hóa công ty... được đề cập trong reviews này.",,Có
HDBANK,Ngân hàng,4.0,Thu nhập ổn định cân bằng cuộc sống công việc học tập hỗ trợ (GL),Nhân viên,Nhân viên hiện tại,Hồ Chí Minh,25/03/2025,,"- Phúc lợi tốt, môi trường, không làm thêm giờ, có thưởng- Ông chủ tốt- Quản lý tốt- Thu nhập ổn định cân bằng cuộc sống công việc học tập hỗ trợ",,Có
