model_key,model_family,algorithm,feature_backend,vi_n_samples,vi_val_f1_macro,vi_test_f1_macro,vi_test_accuracy,vi_f1_weighted,vi_precision_macro,vi_recall_macro,vi_negative_f1,vi_non_negative_f1,vi_negative_recall,vi_negative_f2,vi_non_positive_f1,vi_positive_f1,vi_non_positive_recall,vi_non_positive_f2,vi_smoke_passed,vi_threshold,vi_best_strategy,vi_source_run_id,vi_source_model_name,vi_pipeline,en_n_samples,en_val_f1_macro,en_test_f1_macro,en_test_accuracy,en_f1_weighted,en_precision_macro,en_recall_macro,en_negative_f1,en_non_negative_f1,en_negative_recall,en_negative_f2,en_non_positive_f1,en_positive_f1,en_non_positive_recall,en_non_positive_f2,en_smoke_passed,en_threshold,en_best_strategy,en_source_run_id,en_source_model_name,en_pipeline
DistilBERT,DistilBERT,DistilBERT,transformer,,,,,,,,,,,,,,,,,,,,,,838566.0,0.8573,0.7666,0.7703,0.7649,0.8091,0.7801,,,,,,,,,,0.9,finetune_3epoch_threshold,distilbert_binary_run_20260625_225844,distilbert-base-uncased,phobert
FastText_Ensemble_SoftVote,FastText_Ensemble_SoftVote,FastText_Ensemble_SoftVote,fasttext_305d,72100,0.7735,0.7815,0.783,0.7833,0.781,0.7825,0.7993,,0.7871,0.792,0.7993,,0.7871,0.792,,,weak_label_full + soft_vote + default_threshold + fasttext_300d+handcrafted_5d,fasttext_binary_current_20260629_081553,FastText_Ensemble_SoftVote,fasttext,838566.0,0.7749,0.7767,0.7775,0.7775,0.7769,0.7765,0.7629,,0.7593,0.7607,0.7629,,0.7593,0.7607,,,weak_label_full + soft_vote + default_threshold + fasttext_300d+handcrafted_5d,fasttext_binary_glassdoor_en_20260629_082844,FastText_Ensemble_SoftVote,fasttext
FastText_GaussianNB,FastText_GaussianNB,FastText_GaussianNB,fasttext_305d,72100,0.659,0.6594,0.6706,0.6655,0.6695,0.6592,0.7212,,0.7759,0.753,0.7212,,0.7759,0.753,,0.95,weak_label_full + class_weight + default_threshold + fasttext_300d+handcrafted_5d,fasttext_binary_current_20260629_081553,FastText_GaussianNB,fasttext,838566.0,0.6558,0.6551,0.6555,0.6557,0.6553,0.6558,0.644,,0.6611,0.6542,0.644,,0.6611,0.6542,,0.95,weak_label_full + class_weight + default_threshold + fasttext_300d+handcrafted_5d,fasttext_binary_glassdoor_en_20260629_082844,FastText_GaussianNB,fasttext
FastText_LinearSVC,FastText_LinearSVC,FastText_LinearSVC,fasttext_305d,72100,0.7714,0.7745,0.7748,0.7753,0.7764,0.7789,0.7823,,0.7369,0.7544,0.7823,,0.7369,0.7544,,0.85,weak_label_full + class_weight + default_threshold + fasttext_300d+handcrafted_5d,fasttext_binary_current_20260629_081553,FastText_LinearSVC,fasttext,838566.0,0.7416,0.7451,0.7457,0.7458,0.745,0.7453,0.7325,,0.7384,0.736,0.7325,,0.7384,0.736,,0.82,weak_label_full + class_weight + default_threshold + fasttext_300d+handcrafted_5d,fasttext_binary_glassdoor_en_20260629_082844,FastText_LinearSVC,fasttext
FastText_LogisticRegression,FastText_LogisticRegression,FastText_LogisticRegression,fasttext_305d,72100,0.7702,0.7724,0.7726,0.7731,0.7749,0.7772,0.7792,,0.7309,0.7495,0.7792,,0.7309,0.7495,,0.9,weak_label_full + class_weight + default_threshold + fasttext_300d+handcrafted_5d,fasttext_binary_current_20260629_081553,FastText_LogisticRegression,fasttext,838566.0,0.7417,0.7451,0.7458,0.7459,0.745,0.7453,0.7324,,0.7382,0.7359,0.7324,,0.7382,0.7359,,0.81,weak_label_full + class_weight + default_threshold + fasttext_300d+handcrafted_5d,fasttext_binary_glassdoor_en_20260629_082844,FastText_LogisticRegression,fasttext
FastText_MLP_NeuralNet,FastText_MLP_NeuralNet,FastText_MLP_NeuralNet,fasttext_305d,72100,0.7818,0.7838,0.7841,0.7846,0.7853,0.788,0.792,,0.7486,0.7654,0.792,,0.7486,0.7654,,0.84,weak_label_full + class_weight + default_threshold + fasttext_300d+handcrafted_5d,fasttext_binary_current_20260629_081553,FastText_MLP_NeuralNet,fasttext,838566.0,0.7891,0.7923,0.794,0.7934,0.795,0.7915,0.7736,,0.7464,0.7571,0.7736,,0.7464,0.7571,,0.82,weak_label_full + class_weight + default_threshold + fasttext_300d+handcrafted_5d,fasttext_binary_glassdoor_en_20260629_082844,FastText_MLP_NeuralNet,fasttext
FastText_MLP_NeuralNet_Tuned,FastText_MLP_NeuralNet_Tuned,FastText_MLP_NeuralNet_Tuned,fasttext_305d,72100,0.7861,0.7844,0.7845,0.7847,0.7899,0.791,0.7868,,0.7243,0.7481,0.7868,,0.7243,0.7481,,0.89,weak_label_full + class_weight + default_threshold + fasttext_300d+handcrafted_5d,fasttext_binary_current_20260629_081553,FastText_MLP_NeuralNet_Tuned,fasttext,838566.0,0.7904,0.7929,0.7948,0.794,0.7963,0.7919,0.773,,0.7414,0.7537,0.773,,0.7414,0.7537,,0.85,weak_label_full + class_weight + default_threshold + fasttext_300d+handcrafted_5d,fasttext_binary_glassdoor_en_20260629_082844,FastText_MLP_NeuralNet_Tuned,fasttext
FastText_RandomForest,FastText_RandomForest,FastText_RandomForest,fasttext_305d,72100,0.7484,0.7505,0.7509,0.7515,0.752,0.7543,0.7602,,0.7193,0.7351,0.7602,,0.7193,0.7351,,0.77,weak_label_full + class_weight + default_threshold + fasttext_300d+handcrafted_5d,fasttext_binary_current_20260629_081553,FastText_RandomForest,fasttext,838566.0,0.7333,0.7334,0.7356,0.7348,0.7357,0.7328,0.7092,,0.6839,0.6938,0.7092,,0.6839,0.6938,,0.72,weak_label_full + class_weight + default_threshold + fasttext_300d+handcrafted_5d,fasttext_binary_glassdoor_en_20260629_082844,FastText_RandomForest,fasttext
PhoBERT,PhoBERT,PhoBERT,transformer,72100.0,0.8679,0.8271,0.8325,0.8301,0.8419,0.8232,,,,,,,,,,0.95,finetune_3epoch_threshold,phobert_binary_run_20260625_081304,vinai/phobert-base-v2,phobert,,,,,,,,,,,,,,,,,,,,,
TFIDF_WordCharCue_Cleanlab,TFIDF_WordCharCue_Cleanlab,TFIDF_WordCharCue_Cleanlab,tfidf_word_char+cues,,0.9901,0.9901,0.9901,0.9901,0.9898,0.9904,,,,,0.9906,0.9895,0.9862,0.9879,False,0.57,label_filtered + class_weight + threshold_tuned + field_tfidf+vi_cues+rating_metadata,variant_run_current_20260625_005116,cleanlab_pruned_negative_vs_non_negative__Custom_VNReviewFusion_LinearSVC_ThresholdTuned_t0.57,tfidf,,,,,,,,,,,,,,,,,,,,,
TFIDF_WordCharCue_LinearSVC,TFIDF_WordCharCue_LinearSVC,TFIDF_WordCharCue_LinearSVC,tfidf_word_char+cues,72100,0.8816,0.8848,0.8849,0.885,0.8854,0.8868,0.8877,0.882,0.8562,0.8685,0.8877,0.882,0.8562,0.8685,False,0.81,label_filtered + class_weight + default_threshold + tfidf_word_char_ngrams+vietnamese_cues,variant_run_current_20260625_005116,cleanlab_pruned_negative_vs_non_negative__TFIDF_WordCharCue_LinearSVC_C0.6,tfidf,838566.0,0.8294,0.829,0.8311,0.8301,0.8354,0.8274,0.8098,0.8481,0.7642,0.7818,0.8098,0.8481,0.7642,0.7818,True,0.82,label_filtered + class_weight + default_threshold + tfidf_word_char_ngrams+english_cues,variant_run_glassdoor_en_20260625_013719,glassdoor_en_cleanlab_pruned_negative_vs_non_negative__TFIDF_WordCharCue_LinearSVC_C0.6,tfidf
